Date,Close,Open,High,Low,adj_close
12/22/2021,6625,6750,6775,6600,6504.973145
12/23/2021,6650,6625,6675,6625,6529.520508
12/24/2021,6725,6650,6725,6575,6603.161621
12/27/2021,6750,6725,6750,6675,6627.708496
12/28/2021,6700,6750,6775,6700,6578.614258
12/29/2021,6725,6700,6750,6675,6603.161621
12/30/2021,6750,6725,6775,6675,6627.708496
1/3/2022,6725,6750,6800,6700,6603.161621
1/4/2022,7025,6800,7050,6775,6897.726563
1/5/2022,6950,7025,7050,6850,6824.084961
1/6/2022,6950,6950,7000,6825,6824.084961
1/7/2022,7075,7000,7100,6925,6946.820313
1/10/2022,7050,7075,7175,7025,6922.273438
1/11/2022,7025,7050,7125,6975,6897.726563
1/12/2022,7050,7050,7100,6975,6922.273438
1/13/2022,7025,7050,7075,7000,6897.726563
1/14/2022,7100,7025,7150,6975,6971.367676
1/17/2022,7200,7125,7200,7050,7069.555664
1/18/2022,7075,7200,7250,6925,6946.820313
1/19/2022,7100,7025,7100,6950,6971.367676
1/20/2022,7150,7100,7150,6975,7020.461426
1/21/2022,7175,7125,7175,7050,7045.008789
1/24/2022,7100,7125,7125,7025,6971.367676
1/25/2022,6800,7100,7100,6775,6676.802734
1/26/2022,7125,6875,7125,6850,6995.914551
1/27/2022,7200,7100,7300,7050,7069.555664
1/28/2022,7500,7200,7500,7200,7364.120605
