Date,Open,High,Low,Close,Adj Close
12/22/2021,6750,6775,6600,6625,6504.973145
12/23/2021,6625,6675,6625,6650,6529.520508
12/24/2021,6650,6725,6575,6725,6603.161621
12/27/2021,6725,6750,6675,6750,6627.708496
12/28/2021,6750,6775,6700,6700,6578.614258
12/29/2021,6700,6750,6675,6725,6603.161621
12/30/2021,6725,6775,6675,6750,6627.708496
1/3/2022,6750,6800,6700,6725,6603.161621
1/4/2022,6800,7050,6775,7025,6897.726563
1/5/2022,7025,7050,6850,6950,6824.084961
1/6/2022,6950,7000,6825,6950,6824.084961
1/7/2022,7000,7100,6925,7075,6946.820313
1/10/2022,7075,7175,7025,7050,6922.273438
1/11/2022,7050,7125,6975,7025,6897.726563
1/12/2022,7050,7100,6975,7050,6922.273438
1/13/2022,7050,7075,7000,7025,6897.726563
1/14/2022,7025,7150,6975,7100,6971.367676
1/17/2022,7125,7200,7050,7200,7069.555664
1/18/2022,7200,7250,6925,7075,6946.820313
1/19/2022,7025,7100,6950,7100,6971.367676
1/20/2022,7100,7150,6975,7150,7020.461426
1/21/2022,7125,7175,7050,7175,7045.008789
1/24/2022,7125,7125,7025,7100,6971.367676
1/25/2022,7100,7100,6775,6800,6676.802734
1/26/2022,6875,7125,6850,7125,6995.914551
1/27/2022,7100,7300,7050,7200,7069.555664
1/28/2022,7200,7500,7200,7500,7364.120605
1/31/2022,7500,7525,7325,7325,7192.291016
2/2/2022,7325,7400,7300,7375,7241.385254
2/3/2022,7325,7350,7225,7300,7167.744141
2/4/2022,7275,7350,7225,7325,7192.291016
2/7/2022,7325,7425,7325,7375,7241.385254
2/8/2022,7425,7600,7400,7500,7364.120605
2/9/2022,7525,7625,7425,7575,7437.761719
2/10/2022,7650,7750,7575,7675,7535.950195
2/11/2022,7650,7775,7575,7700,7560.49707
2/14/2022,7675,7700,7600,7700,7560.49707
2/15/2022,7750,7950,7725,7925,7781.420898
2/16/2022,7950,7975,7900,7950,7805.967773
2/17/2022,7950,7950,7775,7900,7756.873535
2/18/2022,7900,7975,7825,7975,7830.515137
2/21/2022,7900,8000,7850,7900,7756.873535
2/22/2022,7800,7850,7700,7750,7609.591309
2/23/2022,7775,7925,7775,7925,7781.420898
2/24/2022,7900,8000,7700,7825,7683.232422
2/25/2022,7825,8000,7800,8000,7855.062012
3/1/2022,8200,8200,7925,7925,7781.420898
3/2/2022,7850,7900,7750,7775,7634.138184
3/4/2022,7850,7925,7800,7900,7756.873535
3/7/2022,7800,7900,7700,7725,7585.044434
3/8/2022,7700,7825,7525,7600,7462.309082
3/9/2022,7550,7900,7550,7775,7634.138184
3/10/2022,7850,7900,7725,7775,7634.138184
3/11/2022,7850,7975,7775,7950,7805.967773
