Date,Close,Open,High,Low,adj_close
12/22/2021,4050,4100,4110,4050,3895.575684
12/23/2021,4100,4090,4110,4060,3943.669189
12/24/2021,4070,4100,4120,4050,3914.813232
12/27/2021,4060,4070,4110,4060,3905.194336
12/28/2021,4090,4090,4110,4070,3934.050537
12/29/2021,4080,4090,4100,4070,3924.431885
12/30/2021,4110,4080,4140,4060,3953.288086
1/3/2022,4180,4120,4190,4090,4020.618896
1/4/2022,4160,4200,4210,4160,4001.381592
1/5/2022,4210,4180,4230,4130,4049.475098
1/6/2022,4160,4240,4240,4140,4001.381592
1/7/2022,4190,4170,4200,4150,4030.237549
1/10/2022,4180,4190,4210,4180,4020.618896
1/11/2022,4150,4180,4180,4130,3991.762695
1/12/2022,4160,4170,4180,4130,4001.381592
1/13/2022,4190,4180,4190,4170,4030.237549
1/14/2022,4180,4190,4210,4160,4020.618896
1/17/2022,4210,4200,4210,4180,4049.475098
1/18/2022,4190,4240,4240,4140,4030.237549
1/19/2022,4130,4210,4210,4130,3972.525391
1/20/2022,4130,4130,4160,4110,3972.525391
1/21/2022,4170,4130,4170,4110,4011.000244
1/24/2022,4120,4140,4160,4100,3962.906738
1/25/2022,4070,4100,4110,4000,3914.813232
1/26/2022,4090,4030,4100,4030,3934.050537
1/27/2022,4140,4070,4140,4060,3982.144043
1/28/2022,4140,4170,4170,4090,3982.144043
