Date,Open,High,Low,Close,Adj Close
12/22/2021,4100,4110,4050,4050,3895.575684
12/23/2021,4090,4110,4060,4100,3943.669189
12/24/2021,4100,4120,4050,4070,3914.813232
12/27/2021,4070,4110,4060,4060,3905.194336
12/28/2021,4090,4110,4070,4090,3934.050537
12/29/2021,4090,4100,4070,4080,3924.431885
12/30/2021,4080,4140,4060,4110,3953.288086
1/3/2022,4120,4190,4090,4180,4020.618896
1/4/2022,4200,4210,4160,4160,4001.381592
1/5/2022,4180,4230,4130,4210,4049.475098
1/6/2022,4240,4240,4140,4160,4001.381592
1/7/2022,4170,4200,4150,4190,4030.237549
1/10/2022,4190,4210,4180,4180,4020.618896
1/11/2022,4180,4180,4130,4150,3991.762695
1/12/2022,4170,4180,4130,4160,4001.381592
1/13/2022,4180,4190,4170,4190,4030.237549
1/14/2022,4190,4210,4160,4180,4020.618896
1/17/2022,4200,4210,4180,4210,4049.475098
1/18/2022,4240,4240,4140,4190,4030.237549
1/19/2022,4210,4210,4130,4130,3972.525391
1/20/2022,4130,4160,4110,4130,3972.525391
1/21/2022,4130,4170,4110,4170,4011.000244
1/24/2022,4140,4160,4100,4120,3962.906738
1/25/2022,4100,4110,4000,4070,3914.813232
1/26/2022,4030,4100,4030,4090,3934.050537
1/27/2022,4070,4140,4060,4140,3982.144043
1/28/2022,4170,4170,4090,4140,3982.144043
1/31/2022,4170,4170,4070,4070,3914.813232
2/2/2022,4120,4120,4060,4070,3914.813232
2/3/2022,4180,4180,4130,4130,3972.525391
2/4/2022,4170,4210,4150,4210,4049.475098
2/7/2022,4240,4410,4220,4400,4232.230469
2/8/2022,4450,4550,4400,4440,4270.705078
2/9/2022,4400,4500,4380,4450,4280.32373
2/10/2022,4500,4500,4450,4470,4299.561523
2/11/2022,4420,4450,4380,4450,4280.32373
2/14/2022,4450,4450,4380,4410,4241.849121
2/15/2022,4440,4450,4390,4430,4261.086426
2/16/2022,4470,4470,4410,4420,4251.467773
2/17/2022,4390,4410,4340,4400,4232.230469
2/18/2022,4400,4440,4370,4430,4261.086426
2/21/2022,4460,4490,4440,4490,4318.798828
2/22/2022,4440,4470,4420,4430,4261.086426
2/23/2022,4520,4520,4460,4480,4309.180176
2/24/2022,4470,4470,4370,4390,4222.611816
2/25/2022,4450,4550,4410,4550,4376.51123
3/1/2022,4850,4860,4630,4630,4453.460449
3/2/2022,4680,4690,4550,4560,4386.129883
3/4/2022,4720,4730,4610,4670,4491.935547
3/7/2022,4580,4630,4520,4520,4347.654785
3/8/2022,4500,4560,4430,4430,4261.086426
3/9/2022,4530,4590,4500,4570,4395.748535
3/10/2022,4640,4640,4510,4570,4395.748535
3/11/2022,4400,4440,4370,4400,4400
3/14/2022,4440,4540,4410,4520,4520
3/15/2022,4550,4640,4530,4610,4610
3/16/2022,4650,4660,4610,4650,4650
3/17/2022,4690,4700,4610,4650,4650
3/18/2022,4700,4700,4580,4580,4580
3/21/2022,4600,4630,4560,4590,4590
3/22/2022,4690,4710,4640,4640,4640
3/23/2022,4680,4690,4620,4650,4650
3/24/2022,4640,4730,4620,4730,4730
3/25/2022,4760,4760,4650,4710,4710
3/28/2022,4730,4740,4670,4730,4730
3/29/2022,4750,4750,4670,4690,4690
3/30/2022,4740,4740,4690,4710,4710
3/31/2022,4700,4750,4660,4660,4660
4/1/2022,4690,4730,4630,4730,4730
4/4/2022,4730,4730,4660,4700,4700
4/5/2022,4730,4740,4670,4700,4700
4/6/2022,4690,4690,4600,4600,4600
4/7/2022,4670,4670,4620,4630,4630
4/8/2022,4630,4650,4600,4610,4610
4/11/2022,4600,4620,4570,4570,4570
4/12/2022,4550,4610,4550,4610,4610
4/13/2022,4640,4640,4590,4610,4610
4/14/2022,4600,4610,4530,4540,4540
4/18/2022,4550,4580,4540,4550,4550
4/19/2022,4550,4600,4540,4570,4570
4/20/2022,4610,4870,4600,4850,4850
