Date,Open,High,Low,Close,Adj Close
12/22/2021,7175,7200,7050,7050,6729.182129
12/23/2021,7050,7150,7050,7075,6753.044434
12/24/2021,7100,7150,6950,7050,6729.182129
12/27/2021,7050,7100,6975,7000,6681.45752
12/28/2021,7050,7050,6975,7050,6729.182129
12/29/2021,7075,7125,7000,7100,6776.906738
12/30/2021,7100,7125,7025,7025,6705.319824
1/3/2022,7100,7125,7025,7050,6729.182129
1/4/2022,7075,7200,7050,7175,6848.494141
1/5/2022,7150,7175,6925,7025,6705.319824
1/6/2022,7075,7075,6950,7025,6705.319824
1/7/2022,7025,7100,7025,7050,6729.182129
1/10/2022,7075,7100,7050,7050,6729.182129
1/11/2022,7100,7100,7000,7050,6729.182129
1/12/2022,7050,7150,7050,7150,6824.631836
1/13/2022,7150,7175,7100,7125,6800.769531
1/14/2022,7075,7225,7075,7175,6848.494141
1/17/2022,7250,7275,7150,7200,6872.356445
1/18/2022,7175,7250,7100,7250,6920.081055
1/19/2022,7175,7200,7000,7025,6705.319824
1/20/2022,7100,7175,7025,7175,6848.494141
1/21/2022,7175,7300,7125,7300,6967.805664
1/24/2022,7275,7275,7200,7275,6943.943359
1/25/2022,7200,7250,7150,7225,6896.21875
1/26/2022,7300,7475,7225,7475,7134.842285
1/27/2022,7475,7600,7400,7550,7206.429199
1/28/2022,7625,7650,7550,7650,7301.878418
1/31/2022,7775,7775,7450,7475,7134.842285
2/2/2022,7525,7525,7450,7475,7134.842285
2/3/2022,7475,7475,7350,7475,7134.842285
2/4/2022,7450,7525,7400,7475,7134.842285
2/7/2022,7650,7650,7475,7500,7158.70459
2/8/2022,7600,7725,7550,7625,7278.016113
2/9/2022,7700,7725,7600,7675,7325.741211
2/10/2022,7700,7750,7650,7725,7373.46582
2/11/2022,7775,7775,7650,7725,7373.46582
2/14/2022,7700,7800,7625,7800,7445.052734
2/15/2022,7800,7900,7675,7900,7540.501953
2/16/2022,7925,7925,7750,7850,7492.777344
2/17/2022,7875,7875,7675,7850,7492.777344
2/18/2022,7825,7950,7750,7850,7492.777344
2/21/2022,7850,7925,7850,7850,7492.777344
2/22/2022,7825,7900,7775,7875,7516.639648
2/23/2022,7925,7950,7825,7875,7516.639648
2/24/2022,7725,7875,7650,7700,7349.603516
2/25/2022,7725,7750,7650,7700,7349.603516
3/1/2022,7675,7850,7650,7650,7301.878418
