Date,Nilai,Kurs Jual,Kurs Beli
1/2/2015,1,12536,12412
1/5/2015,1,12652,12526
1/6/2015,1,12721,12595
1/7/2015,1,12796,12668
1/8/2015,1,12795,12667
1/9/2015,1,12703,12577
1/12/2015,1,12631,12505
1/13/2015,1,12671,12545
1/14/2015,1,12643,12517
1/15/2015,1,12680,12554
1/16/2015,1,12656,12530
1/19/2015,1,12675,12549
1/20/2015,1,12722,12596
1/21/2015,1,12620,12494
1/22/2015,1,12513,12389
1/23/2015,1,12506,12382
1/26/2015,1,12580,12454
1/27/2015,1,12555,12431
1/28/2015,1,12560,12436
1/29/2015,1,12578,12452
1/30/2015,1,12688,12562
2/2/2015,1,12764,12636
2/3/2015,1,12706,12580
2/4/2015,1,12672,12546
2/5/2015,1,12716,12590
2/6/2015,1,12676,12550
2/9/2015,1,12742,12616
2/10/2015,1,12707,12581
2/11/2015,1,12764,12636
2/12/2015,1,12858,12730
2/13/2015,1,12833,12705
2/16/2015,1,12806,12678
2/17/2015,1,12821,12693
2/18/2015,1,12868,12740
2/20/2015,1,12913,12785
2/23/2015,1,12877,12749
2/24/2015,1,12930,12802
2/25/2015,1,12951,12823
2/26/2015,1,12926,12798
2/27/2015,1,12927,12799
3/2/2015,1,13058,12928
3/3/2015,1,13027,12897
3/4/2015,1,13028,12898
3/5/2015,1,13087,12957
3/6/2015,1,13048,12918
3/9/2015,1,13112,12982
3/10/2015,1,13124,12994
3/11/2015,1,13230,13098
3/12/2015,1,13242,13110
3/13/2015,1,13257,13125
3/16/2015,1,13303,13171
3/17/2015,1,13275,13143
3/18/2015,1,13230,13098
3/19/2015,1,13073,12943
3/20/2015,1,13140,13010
3/23/2015,1,13141,13011
3/24/2015,1,13037,12907
3/25/2015,1,12997,12867
3/26/2015,1,13068,12938
3/27/2015,1,13129,12999
3/30/2015,1,13151,13021
3/31/2015,1,13149,13019
4/1/2015,1,13108,12978
4/2/2015,1,13065,12935
4/6/2015,1,13007,12877
4/7/2015,1,13047,12917
4/8/2015,1,13067,12937
4/9/2015,1,13038,12908
4/10/2015,1,12975,12845
4/13/2015,1,13010,12880
4/14/2015,1,13044,12914
4/15/2015,1,13041,12911
4/16/2015,1,12902,12774
4/17/2015,1,12927,12799
4/20/2015,1,12939,12811
4/21/2015,1,13007,12877
4/22/2015,1,13017,12887
4/23/2015,1,13004,12874
4/24/2015,1,13006,12876
4/27/2015,1,12987,12857
4/28/2015,1,13043,12913
4/29/2015,1,13029,12899
4/30/2015,1,13002,12872
5/4/2015,1,13086,12956
5/5/2015,1,13058,12928
5/6/2015,1,13105,12975
5/7/2015,1,13130,13000
5/8/2015,1,13243,13111
5/11/2015,1,13182,13050
5/12/2015,1,13269,13137
5/13/2015,1,13254,13122
5/15/2015,1,13155,13025
5/18/2015,1,13182,13050
5/19/2015,1,13249,13117
5/20/2015,1,13235,13103
5/21/2015,1,13216,13084
5/22/2015,1,13202,13070
5/25/2015,1,13252,13120
5/26/2015,1,13258,13126
5/27/2015,1,13295,13163
5/28/2015,1,13271,13139
5/29/2015,1,13277,13145
6/1/2015,1,13296,13164
6/3/2015,1,13262,13130
6/4/2015,1,13309,13177
6/5/2015,1,13354,13222
6/8/2015,1,13427,13293
6/9/2015,1,13429,13295
6/10/2015,1,13396,13262
6/11/2015,1,13358,13226
6/12/2015,1,13384,13250
6/15/2015,1,13400,13266
6/16/2015,1,13400,13266
6/17/2015,1,13434,13300
6/18/2015,1,13408,13274
6/19/2015,1,13391,13257
6/22/2015,1,13385,13251
6/23/2015,1,13383,13249
6/24/2015,1,13346,13214
6/25/2015,1,13390,13256
6/26/2015,1,13405,13271
6/29/2015,1,13423,13289
6/30/2015,1,13399,13265
7/1/2015,1,13398,13264
7/2/2015,1,13404,13270
7/3/2015,1,13383,13249
7/6/2015,1,13420,13286
7/7/2015,1,13380,13246
7/8/2015,1,13413,13279
7/9/2015,1,13414,13280
7/10/2015,1,13371,13237
7/13/2015,1,13376,13242
7/14/2015,1,13387,13253
7/15/2015,1,13396,13262
7/22/2015,1,13435,13301
7/23/2015,1,13461,13327
7/24/2015,1,13515,13381
7/27/2015,1,13520,13386
7/28/2015,1,13527,13393
7/29/2015,1,13511,13377
7/30/2015,1,13535,13401
7/31/2015,1,13548,13414
8/3/2015,1,13559,13425
8/4/2015,1,13562,13428
8/5/2015,1,13585,13449
8/6/2015,1,13597,13461
8/7/2015,1,13604,13468
8/10/2015,1,13604,13468
8/11/2015,1,13609,13473
8/12/2015,1,13827,13689
8/13/2015,1,13816,13678
8/14/2015,1,13832,13694
8/18/2015,1,13900,13762
8/19/2015,1,13893,13755
8/20/2015,1,13907,13769
8/21/2015,1,13964,13826
8/24/2015,1,14068,13928
8/25/2015,1,14137,13997
8/26/2015,1,14173,14031
8/27/2015,1,14199,14057
8/28/2015,1,14081,13941
8/31/2015,1,14097,13957
9/1/2015,1,14151,14011
9/2/2015,1,14198,14056
9/3/2015,1,14231,14089
9/4/2015,1,14249,14107
9/7/2015,1,14305,14163
9/8/2015,1,14356,14214
9/9/2015,1,14315,14173
9/10/2015,1,14394,14250
9/11/2015,1,14378,14234
9/14/2015,1,14394,14250
9/15/2015,1,14443,14299
9/16/2015,1,14514,14370
9/17/2015,1,14524,14380
9/18/2015,1,14535,14391
9/21/2015,1,14523,14379
9/22/2015,1,14558,14414
9/23/2015,1,14696,14550
9/25/2015,1,14763,14617
9/28/2015,1,14769,14623
9/29/2015,1,14802,14654
9/30/2015,1,14730,14584
10/1/2015,1,14727,14581
10/2/2015,1,14783,14635
10/5/2015,1,14677,14531
10/6/2015,1,14454,14310
10/7/2015,1,14135,13995
10/8/2015,1,13878,13740
10/9/2015,1,13589,13453
10/12/2015,1,13533,13399
10/13/2015,1,13625,13489
10/15/2015,1,13354,13222
10/16/2015,1,13602,13466
10/19/2015,1,13631,13495
10/20/2015,1,13702,13566
10/21/2015,1,13764,13628
10/22/2015,1,13708,13572
10/23/2015,1,13558,13424
10/26/2015,1,13711,13575
10/27/2015,1,13694,13558
10/28/2015,1,13698,13562
10/29/2015,1,13630,13494
10/30/2015,1,13707,13571
11/2/2015,1,13750,13614
11/3/2015,1,13662,13526
11/4/2015,1,13528,13394
11/5/2015,1,13671,13535
