Date,Open,High,Low,Close,adj_close,Volume,Nilai,kurs_jual,kurs_beli
2015-01-02,6050.0,6125.0,6050.0,6100.0,5013.987793,11700700.0,1,12536.0,12412.0
2015-01-05,6075.0,6075.0,6000.0,6025.0,4952.338867,13824800.0,1,12652.0,12526.0
2015-01-06,6000.0,6050.0,5950.0,6025.0,4952.338867,23801400.0,1,12721.0,12595.0
2015-01-07,6000.0,6100.0,5975.0,6075.0,4993.4375,19387800.0,1,12796.0,12668.0
2015-01-08,6100.0,6125.0,6025.0,6075.0,4993.4375,16755600.0,1,12795.0,12667.0
2015-01-09,6075.0,6250.0,6075.0,6150.0,5055.084961,29854500.0,1,12703.0,12577.0
2015-01-12,6100.0,6225.0,6075.0,6075.0,4993.4375,19549800.0,1,12631.0,12505.0
2015-01-13,6075.0,6175.0,6075.0,6150.0,5055.084961,16151400.0,1,12671.0,12545.0
2015-01-14,6150.0,6200.0,6100.0,6100.0,5013.987793,17067900.0,1,12643.0,12517.0
2015-01-15,6150.0,6200.0,6075.0,6150.0,5055.084961,20480800.0,1,12680.0,12554.0
2015-01-16,6075.0,6125.0,5950.0,5975.0,4911.241699,28009400.0,1,12656.0,12530.0
2015-01-19,6025.0,6050.0,5950.0,5975.0,4911.241699,13717400.0,1,12675.0,12549.0
2015-01-20,5975.0,5975.0,5725.0,5900.0,4849.59375,41519400.0,1,12722.0,12596.0
2015-01-21,5925.0,6000.0,5875.0,5975.0,4911.241699,22344200.0,1,12620.0,12494.0
2015-01-22,6000.0,6050.0,5950.0,5950.0,4890.691895,42082000.0,1,12513.0,12389.0
2015-01-23,6025.0,6175.0,6025.0,6100.0,5013.987793,40006300.0,1,12506.0,12382.0
2015-01-26,5975.0,6150.0,5975.0,6100.0,5013.987793,26297900.0,1,12580.0,12454.0
2015-01-27,6125.0,6275.0,6100.0,6200.0,5096.183594,38917500.0,1,12555.0,12431.0
2015-01-28,6250.0,6300.0,6175.0,6175.0,5075.634277,22756600.0,1,12560.0,12436.0
2015-01-29,6175.0,6225.0,6150.0,6150.0,5055.084961,14063400.0,1,12578.0,12452.0
2015-01-30,6225.0,6275.0,6175.0,6250.0,5137.281738,38295700.0,1,12688.0,12562.0
2015-02-02,6200.0,6275.0,6175.0,6250.0,5137.281738,15358800.0,1,12764.0,12636.0
2015-02-03,6300.0,6450.0,6275.0,6425.0,5281.126465,32659200.0,1,12706.0,12580.0
2015-02-04,6500.0,6825.0,6450.0,6500.0,5342.772949,43160800.0,1,12672.0,12546.0
2015-02-05,6600.0,6675.0,6375.0,6450.0,5301.674805,26275100.0,1,12716.0,12590.0
2015-02-06,6575.0,6775.0,6550.0,6675.0,5486.617188,32723900.0,1,12676.0,12550.0
2015-02-09,6775.0,7075.0,6725.0,6875.0,5651.010254,32429800.0,1,12742.0,12616.0
2015-02-10,6925.0,7000.0,6800.0,6800.0,5589.362793,20021400.0,1,12707.0,12581.0
2015-02-11,6750.0,6825.0,6725.0,6725.0,5527.714844,17464000.0,1,12764.0,12636.0
2015-02-12,6775.0,6775.0,6650.0,6725.0,5527.714844,10723500.0,1,12858.0,12730.0
2015-02-13,6775.0,6800.0,6650.0,6675.0,5486.617188,14850500.0,1,12833.0,12705.0
2015-02-16,6725.0,6750.0,6650.0,6675.0,5486.617188,11771000.0,1,12806.0,12678.0
2015-02-17,6650.0,6700.0,6650.0,6650.0,5466.067871,6168800.0,1,12821.0,12693.0
2015-02-18,6800.0,6925.0,6750.0,6900.0,5671.55957,42491800.0,1,12868.0,12740.0
2015-02-20,6975.0,7075.0,6900.0,6900.0,5671.55957,16170800.0,1,12913.0,12785.0
2015-02-23,7000.0,7000.0,6825.0,6925.0,5692.108398,13749700.0,1,12877.0,12749.0
2015-02-24,6975.0,7000.0,6900.0,6975.0,5733.206543,17175000.0,1,12930.0,12802.0
2015-02-25,7000.0,7000.0,6925.0,6975.0,5733.206543,14772600.0,1,12951.0,12823.0
2015-02-26,6925.0,6975.0,6850.0,6925.0,5692.108398,14264100.0,1,12926.0,12798.0
2015-02-27,6975.0,6975.0,6875.0,6875.0,5651.010254,18975500.0,1,12927.0,12799.0
2015-03-02,6925.0,6950.0,6825.0,6850.0,5630.460449,24645200.0,1,13058.0,12928.0
2015-03-03,6825.0,6875.0,6650.0,6675.0,5486.617188,34926900.0,1,13027.0,12897.0
2015-03-04,6675.0,6750.0,6550.0,6650.0,5466.067871,29378000.0,1,13028.0,12898.0
2015-03-05,6675.0,6725.0,6650.0,6675.0,5486.617188,25140000.0,1,13087.0,12957.0
2015-03-06,6725.0,6800.0,6700.0,6775.0,5568.813965,38451900.0,1,13048.0,12918.0
