var1(t-1),var2(t-1),var3(t-1),var4(t-1),var5(t-1),var6(t-1),var7(t-1),var1(t)
0.07012749,0.068778306,0.0516949,0.07962963,0.059447885,0.0069463253,0.0070171356,0.06921676
0.06921676,0.06425342,0.049152553,0.0787037,0.058644652,0.033806324,0.03368187,0.06557375
0.06557375,0.058823556,0.049152553,0.07407409,0.055431575,0.04978323,0.04982114,0.06648451
0.06648451,0.06063351,0.049152553,0.07592592,0.056234866,0.06714964,0.06689596,0.061020017
0.061020017,0.06334844,0.047457635,0.07314816,0.051415235,0.066918135,0.06666207,0.05919853
0.05919853,0.059728533,0.04491526,0.071296304,0.04980868,0.045615435,0.045610905,0.061930776
0.061930776,0.056108624,0.042372882,0.06666666,0.052218497,0.028943777,0.02876997,0.061930776
0.061930776,0.06063351,0.0440678,0.07314816,0.052218497,0.038205862,0.03812599,0.05919853
0.05919853,0.059728533,0.04322034,0.071296304,0.04980868,0.031722307,0.031576872,0.060109288
0.060109288,0.0570136,0.0440678,0.07222223,0.050612003,0.04028964,0.040231228,0.060109288
0.060109288,0.059728533,0.04322034,0.07222223,0.050612003,0.03473258,0.034617424,0.061930776
0.061930776,0.05791858,0.04322034,0.07314816,0.052218497,0.03913188,0.039061546,0.062841535
0.062841535,0.05791858,0.0440678,0.071296304,0.05302173,0.050014734,0.050055027,0.06466302
0.06466302,0.06063351,0.049152553,0.07500002,0.054628313,0.026396751,0.026196957,0.06921676
0.06921676,0.06063351,0.050000012,0.07592592,0.058644652,0.0016207695,0.0016374588,0.07377049
0.07377049,0.06696835,0.055932194,0.082407415,0.06266099,0.0,0.0,0.06739527
0.06739527,0.07058826,0.055932194,0.07500002,0.0570381,0.017134666,0.016840935,0.06921676
0.06921676,0.06425342,0.050000012,0.0787037,0.058644652,0.011345863,0.011461258,0.071949005
0.071949005,0.0651584,0.053389817,0.07962963,0.06105447,0.012503624,0.012630701,0.07377049
0.07377049,0.06787333,0.053389817,0.08148149,0.06266099,0.016671658,0.016373158,0.07559198
0.07559198,0.07330319,0.056779653,0.08611113,0.064267576,0.042142153,0.042102337,0.07468122
0.07468122,0.07149324,0.055084735,0.08333334,0.063464284,0.059740067,0.05941105,0.08014572
0.08014572,0.072398216,0.05932203,0.08703703,0.068283916,0.046309948,0.04631257,0.09471768
0.09471768,0.07782808,0.07627118,0.09166667,0.08113626,0.038437366,0.03835988,0.0874317
0.0874317,0.09140271,0.0737288,0.087962955,0.0747101,0.04862547,0.048651695,0.0874317
0.0874317,0.08687785,0.069491535,0.09814817,0.0747101,0.039363623,0.039295435,0.091074646
0.091074646,0.0769231,0.07288134,0.0925926,0.07792312,0.054645777,0.054733038,0.08925319
0.08925319,0.09049773,0.07288134,0.09814817,0.076316535,0.04654169,0.04654646,0.09562838
0.09562838,0.08687785,0.0737288,0.100000024,0.08193946,0.059740067,0.05941105,0.09471768
0.09471768,0.09230769,0.07457626,0.105555534,0.08113626,0.081505775,0.08139777,0.09927142
0.09927142,0.09502262,0.084745765,0.110185206,0.085152656,0.07571697,0.07555032,0.09836066
0.09836066,0.09683257,0.08220339,0.111111104,0.084349275,0.06946516,0.06923485,0.101092875
0.101092875,0.09502262,0.08050847,0.111111104,0.08675906,0.07293844,0.072743416,0.101092875
0.101092875,0.10226244,0.09491524,0.111111104,0.08675906,0.0838213,0.0837369,0.100182116
0.100182116,0.10588235,0.08728814,0.11296296,0.08595586,0.094240904,0.09426236,0.09927142
0.09927142,0.09773755,0.083898306,0.110185206,0.085152656,0.085905075,0.085841894,0.100182116
0.100182116,0.09683257,0.07881355,0.10833335,0.08595586,0.09817743,0.09823871,0.102003634
0.102003634,0.09502262,0.08220339,0.111111104,0.08756229,0.10303998,0.103150606,0.101092875
0.101092875,0.09411764,0.08220339,0.110185206,0.08675906,0.09725118,0.09730315,0.102003634
0.102003634,0.09502262,0.08135593,0.111111104,0.08756229,0.09748268,0.09753704,0.10655737
0.10655737,0.10045248,0.08644068,0.11481482,0.09157875,0.12781572,0.12771034,0.11293262
0.11293262,0.1076923,0.0957627,0.12314814,0.097201705,0.120637655,0.12045932,0.11384332
0.11384332,0.113122165,0.0957627,0.125,0.09800485,0.1208694,0.12069321,0.1165756
0.1165756,0.113122165,0.09830508,0.12870371,0.10041475,0.13453078,0.13449359,0.120218575
0.120218575,0.113122165,0.099152535,0.12962961,0.10362783,0.12550044,0.12537122,0.11202186
0.11202186,0.109502256,0.092372894,0.11481482,0.096398324,0.14031959,0.14034104,0.11384332
0.11384332,0.109502256,0.09406778,0.12037039,0.09800485,0.14309812,0.14314795,0.10837889
0.10837889,0.10407239,0.08898306,0.11944443,0.093185216,0.1676426,0.16747355,0.10564661
0.10564661,0.103167415,0.08559322,0.116666675,0.09077549,0.17042112,0.17028046,0.102003634
0.102003634,0.10226244,0.08559322,0.11296296,0.08756229,0.1738944,0.17378902,0.10382515
0.10382515,0.095927596,0.08728814,0.11203706,0.089168936,0.18454576,0.18454838,0.102003634
0.102003634,0.10497737,0.08644068,0.11481482,0.08756229,0.1780622,0.17799926,0.10655737
0.10655737,0.09864253,0.084745765,0.11481482,0.09157875,0.1676426,0.16747355,0.10746813
0.10746813,0.10588235,0.0881356,0.11759257,0.092381924,0.131289,0.13121891,0.110200346
0.110200346,0.10135746,0.092372894,0.11759257,0.09479177,0.1468029,0.14689016,0.11475408
0.11475408,0.109502256,0.09491524,0.12592596,0.09880814,0.14703465,0.14712429,0.11839706
0.11839706,0.11493212,0.099152535,0.12962961,0.10202119,0.12295318,0.12279844,0.121129334
0.121129334,0.11493212,0.10169491,0.12962961,0.104430944,0.11369133,0.11344242,0.11748636
0.11748636,0.113122165,0.10084745,0.12870371,0.101217985,0.13013124,0.13004947,0.11475408
0.11475408,0.11221719,0.09406778,0.125,0.09880814,0.14425588,0.14431739,0.1165756
0.1165756,0.11131221,0.09830508,0.12777776,0.10041475,0.14934993,0.14946318,0.12841529
0.12841529,0.12398189,0.10423729,0.13611114,0.11085719,0.14888692,0.1489954,0.12841529
0.12841529,0.12669683,0.10762712,0.1398148,0.11085719,0.13939333,0.13940549,0.12750453
0.12750453,0.12850678,0.10762712,0.13796294,0.1100539,0.12943673,0.12934756,0.14116573
0.14116573,0.12398189,0.1254237,0.1398148,0.122102976,0.11600685,0.11578131,0.14571947
0.14571947,0.14841628,0.13050845,0.15833336,0.1261194,0.1252687,0.12513733,0.13570124
0.13570124,0.13393664,0.11525425,0.14444447,0.117283285,0.12989974,0.12981534,0.13752276
0.13752276,0.13393664,0.11694917,0.14629632,0.11888987,0.12318492,0.12303233,0.136612
0.136612,0.13846153,0.11779663,0.14629632,0.118086636,0.10859704,0.108296394,0.13570124
0.13570124,0.13212669,0.11271188,0.14722222,0.117283285,0.116701365,0.11648297,0.13296902
0.13296902,0.13122171,0.114406794,0.14537036,0.11487356,0.124574184,0.12443566,0.12568307
0.12568307,0.1276018,0.10847458,0.13518518,0.1084474,0.12387943,0.123734,0.13114756
0.13114756,0.12398189,0.10762712,0.13611114,0.113267064,0.09169388,0.09168959,0.12568307
0.12568307,0.1276018,0.106779665,0.1388889,0.11158517,0.09748268,0.09753704,0.12386155
0.12386155,0.120361984,0.106779665,0.13425928,0.10996792,0.10026121,0.10034394,0.13114756
0.13114756,0.12126696,0.1101695,0.13703704,0.11643672,0.11600685,0.11578131,0.1302368
0.1302368,0.12941176,0.10847458,0.14166665,0.11562812,0.11832237,0.11812043,0.13114756
0.13114756,0.12941176,0.1101695,0.14351851,0.11643672,0.1153121,0.11507964,0.13114756
0.13114756,0.1276018,0.1101695,0.14259261,0.11643672,0.11577511,0.11554742,0.10564661
0.10564661,0.12398189,0.10508475,0.11203706,0.09379625,0.11137581,0.1111033,0.100182116
0.100182116,0.09864253,0.08305085,0.10740739,0.0889447,0.12434268,0.124201775,0.08014572
0.08014572,0.09502262,0.07627118,0.08148149,0.07115579,0.1211009,0.120927095,0.07923496
0.07923496,0.06968328,0.0661017,0.070370376,0.07034719,0.11484909,0.114611864,0.08834243
0.08834243,0.076018125,0.07118645,0.09074074,0.0784331,0.13429928,0.1342597,0.09289616
0.09289616,0.085972875,0.0737288,0.099074066,0.08247602,0.12781572,0.12771034,0.0874317
0.0874317,0.085972875,0.06864408,0.09537035,0.07762441,0.13869882,0.13870382,0.0874317
0.0874317,0.08054301,0.06864408,0.09537035,0.07762441,0.14448738,0.14455128,0.090163946
0.090163946,0.085972875,0.07203391,0.099074066,0.08005017,0.17065263,0.17051435,0.0874317
0.0874317,0.08778283,0.070338994,0.09722221,0.07762441,0.156528,0.15624642,0.08834243
0.08834243,0.08144799,0.070338994,0.09629631,0.0784331,0.17667294,0.17659569,0.08834243
0.08834243,0.082352966,0.069491535,0.09814817,0.0784331,0.17319965,0.17308736,0.081056446
0.081056446,0.0850679,0.06864408,0.08888888,0.07196435,0.15027618,0.15039873,0.08378869
0.08378869,0.08054301,0.06355932,0.093518496,0.07439011,0.156528,0.15624642,0.08561018
0.08561018,0.08144799,0.07118645,0.09444445,0.07600728,0.1720419,0.17191768,0.09380692
0.09380692,0.08687785,0.077118635,0.100000024,0.08328453,0.16880035,0.16864324,0.10291439
0.10291439,0.093212664,0.08898306,0.10740739,0.09137046,0.16440082,0.16419911,0.111111104
0.111111104,0.10407239,0.09322032,0.11481482,0.09864771,0.16115904,0.16092443,0.10928959
0.10928959,0.1076923,0.08898306,0.12037039,0.09703049,0.17273664,0.17261958,0.111111104
0.111111104,0.10226244,0.09322032,0.116666675,0.09864771,0.17412591,0.17402291,0.10746813
