var1(t-1),var2(t-1),var3(t-1),var4(t-1),var5(t-1),var1(t)
0.31754214,0.3309524,0.30952376,0.34782606,0.27096653,0.31519693
0.31519693,0.3380952,0.30952376,0.34782606,0.2688269,0.30816132
0.30816132,0.32857144,0.3071428,0.3405797,0.26240808,0.31988746
0.31988746,0.32857144,0.30952376,0.34541065,0.27310592,0.32926828
0.32926828,0.34285712,0.3214286,0.3599034,0.28166473,0.34568483
0.34568483,0.35238087,0.34523803,0.36714977,0.29664183,0.31754214
0.31754214,0.35476184,0.33571428,0.35507244,0.27096653,0.31050652
0.31050652,0.34047616,0.31190473,0.33574885,0.2645477,0.30816132
0.30816132,0.33571422,0.32380944,0.34541065,0.26240808,0.32457787
0.32457787,0.34285712,0.31904763,0.34782606,0.2773854,0.3058161
0.3058161,0.32857144,0.31190473,0.34299523,0.26026845,0.30816132
0.30816132,0.31904757,0.3142857,0.33816427,0.26240808,0.31050652
0.31050652,0.32142854,0.3,0.3333333,0.2645477,0.33161348
0.33161348,0.32857144,0.3214286,0.33816427,0.28380418,0.3339587
0.3339587,0.35000002,0.3261904,0.3599034,0.2859438,0.369137
0.369137,0.35952377,0.35952383,0.3792271,0.3180381,0.3433395
0.3433395,0.36666667,0.34285706,0.3623188,0.29450232,0.3409943
0.3409943,0.35238087,0.33571428,0.37198073,0.2923627,0.33161348
0.33161348,0.36666667,0.3404762,0.3695652,0.28380418,0.33161348
0.33161348,0.34761906,0.3261904,0.36473435,0.28380418,0.3339587
0.3339587,0.3642857,0.347619,0.37198073,0.2859438,0.35741085
0.35741085,0.35238087,0.35238093,0.36714977,0.3073401,0.36679167
0.36679167,0.3857143,0.35952383,0.3985508,0.31589836,0.369137
0.369137,0.3904761,0.36666662,0.39130443,0.3180381,0.35741085
0.35741085,0.38333333,0.35714287,0.39371985,0.3073401,0.36679167
0.36679167,0.3857143,0.36904758,0.40096623,0.31589836,0.39962476
0.39962476,0.3904761,0.40238088,0.41062802,0.34585303,0.39258915
0.39258915,0.40952373,0.39047617,0.42512077,0.3394342,0.40431517
0.40431517,0.4309523,0.41190475,0.43961352,0.3501323,0.40666038
0.40666038,0.44047618,0.4166667,0.44444448,0.35227185,0.41838652
0.41838652,0.43571424,0.41428572,0.45410627,0.36297005,0.40666038
0.40666038,0.4380952,0.41428572,0.44444448,0.35227185,0.39962476
0.39962476,0.4261905,0.40476185,0.43478268,0.34585303,0.42073172
0.42073172,0.44761896,0.44761902,0.4565218,0.36510974,0.43480295
0.43480295,0.4452381,0.43809515,0.4661836,0.3779474,0.4160412
0.4160412,0.4380952,0.42380947,0.45169085,0.36083037,0.4160412
0.4160412,0.42857134,0.41428572,0.4468599,0.36083037,0.41838652
0.41838652,0.4380952,0.41190475,0.45410627,0.36297005,0.4160412
0.4160412,0.42857134,0.4095238,0.44927543,0.36083037,0.42776734
0.42776734,0.4380952,0.42619044,0.44927543,0.37152857,0.42776734
0.42776734,0.4380952,0.4214285,0.45893723,0.37152857,0.41838652
0.41838652,0.45714283,0.4285714,0.45893723,0.36297005,0.413696
0.413696,0.43571424,0.41428572,0.45169085,0.3586908,0.4113508
0.4113508,0.4309523,0.4166667,0.44927543,0.35655123,0.43714815
0.43714815,0.4380952,0.4285714,0.45410627,0.38008684,0.40900558
0.40900558,0.44761896,0.4214285,0.44444448,0.35441154,0.43011254
0.43011254,0.4309523,0.42619044,0.44444448,0.37366813,0.4160412
0.4160412,0.4380952,0.4214285,0.45410627,0.36083037,0.41838652
0.41838652,0.43333328,0.4214285,0.45410627,0.36297005,0.41838652
0.41838652,0.4452381,0.42380947,0.44927543,0.36297005,0.42776734
0.42776734,0.4380952,0.42619044,0.45410627,0.37152857,0.42542213
0.42542213,0.4523809,0.42619044,0.46135265,0.36938888,0.42307693
0.42307693,0.43333328,0.41904753,0.45410627,0.3672493,0.4465291
0.4465291,0.45714283,0.43809515,0.46859902,0.38864547,0.4465291
0.4465291,0.45714283,0.44761902,0.4758454,0.38864547,0.4441839
0.4441839,0.47380948,0.44523805,0.4855073,0.38650578,0.43480295
0.43480295,0.46190476,0.44047612,0.47342998,0.39634138,0.43011254
0.43011254,0.4523809,0.4357143,0.46859902,0.39198607,0.43245775
0.43245775,0.44999993,0.43333334,0.46376818,0.3941638,0.42307693
0.42307693,0.4380952,0.4214285,0.45410627,0.38545293,0.43714815
0.43714815,0.4523809,0.44761902,0.46859902,0.39851898,0.47232646
0.47232646,0.47857141,0.46428567,0.49275368,0.4311847,0.4535647
0.4535647,0.4928571,0.47142857,0.47826093,0.413763,0.4535647
0.4535647,0.48095238,0.45476192,0.47101456,0.413763,0.4441839
0.4441839,0.47619045,0.45,0.47826093,0.40505213,0.4441839
0.4441839,0.46666658,0.43809515,0.4758454,0.40505213,0.43480295
0.43480295,0.46666658,0.43809515,0.4661836,0.39634138,0.42776734
0.42776734,0.45476186,0.42619044,0.46376818,0.38980836,0.42776734
0.42776734,0.44999993,0.42380947,0.4661836,0.38980836,0.43245775
0.43245775,0.4523809,0.42380947,0.46376818,0.3941638,0.413696
0.413696,0.4380952,0.41904753,0.4468599,0.37674206,0.43245775
0.43245775,0.4380952,0.42380947,0.45169085,0.3941638,0.42776734
0.42776734,0.45714283,0.4285714,0.4661836,0.38980836,0.42776734
0.42776734,0.45476186,0.42619044,0.46135265,0.38980836,0.43480295
0.43480295,0.44761896,0.42619044,0.45893723,0.39634138,0.44183868
0.44183868,0.45714283,0.43333334,0.47342998,0.40287453,0.43011254
0.43011254,0.46190476,0.43333334,0.47101456,0.39198607,0.42776734
0.42776734,0.4452381,0.42380947,0.46376818,0.38980836,0.41838652
0.41838652,0.44999993,0.42619044,0.45893723,0.3810976,0.35741085
0.35741085,0.42857134,0.39999992,0.38164252,0.32447737,0.32457787
0.32457787,0.34285712,0.3214286,0.33816427,0.29398954,0.29174483
0.29174483,0.34285712,0.31904763,0.30917877,0.26350176,0.31050652
0.31050652,0.3119048,0.30476183,0.3212561,0.2809235,0.35037524
0.35037524,0.3309524,0.35238093,0.34299523,0.31794417,0.35506564
0.35506564,0.3714285,0.35952383,0.38405806,0.32229954,0.3714822
0.3714822,0.35476184,0.36190468,0.37439615,0.33754355,0.35037524
0.35037524,0.3642857,0.35714287,0.37681168,0.31794417,0.35037524
0.35037524,0.38333333,0.35714287,0.38405806,0.31794417,0.34568483
0.34568483,0.36904764,0.35238093,0.38405806,0.31358874,0.35975605
0.35975605,0.36904764,0.35714287,0.38405806,0.32665503,0.35741085
0.35741085,0.36666667,0.35238093,0.38647348,0.32447737,0.32926828
0.32926828,0.3714285,0.34523803,0.36473435,0.29834503,0.3433395
0.3433395,0.34761906,0.33809525,0.36714977,0.31141114,0.35272044
0.35272044,0.36190474,0.34523803,0.37681168,0.32012188,0.35975605
0.35975605,0.38095236,0.35714287,0.3888889,0.32665503,0.39258915
0.39258915,0.3857143,0.38571423,0.39613527,0.35714287,0.3738274
0.3738274,0.4190476,0.39285713,0.40579718,0.33972114,0.34803003
0.34803003,0.37619042,0.35238093,0.38405806,0.3157665,0.34568483
0.34568483,0.36666667,0.35238093,0.38405806,0.31358874,0.3339587
0.3339587,0.35238087,0.34285706,0.37198073,0.30270028,0.31519693
0.31519693,0.35476184,0.3333333,0.34782606,0.28527874,0.31285173
0.31285173,0.32857144,0.3071428,0.34541065,0.28310096,0.3058161
0.3058161,0.33333325,0.3071428,0.3333333,0.276568,0.29174483
0.29174483,0.3166666,0.29523808,0.31884056,0.26350176,0.28939962
0.28939962,0.30714285,0.2857142,0.31400973,0.261324,0.3034709
0.3034709,0.30714285,0.2928571,0.31884056,0.27439028,0.26829267
0.26829267,0.3119048,0.28809518,0.29951692,0.24172473,0.23545963
0.23545963,0.26666665,0.23809522,0.24637681,0.21123695,0.22842401
0.22842401,0.2523809,0.23571426,0.24879229,0.20470387,0.20966226
0.20966226,0.2523809,0.22857141,0.23913044,0.18728232,0.23076922
0.23076922,0.22857141,0.22619045,0.2439614,0.20688158,0.1862101
0.1862101,0.23809522,0.21428567,0.21980679,0.16550523,0.19793618
0.19793618,0.2095238,0.19761902,0.21256042,0.17639369,0.22373354
0.22373354,0.22380948,0.22380948,0.24154592,0.2003485,0.20966226
0.20966226,0.24761903,0.22619045,0.24154592,0.18728232,0.2401501
0.2401501,0.24761903,0.23333329,0.26086962,0.21559244,0.23780483
0.23780483,0.26428568,0.23809522,0.268116,0.21341461,0.2448405
0.2448405,0.25714284,0.23571426,0.26328504,0.2199477,0.23076922
0.23076922,0.26666665,0.2523809,0.25845414,0.20688158,0.2401501
0.2401501,0.2523809,0.24523807,0.26328504,0.21559244,0.24953091
0.24953091,0.26428568,0.2428571,0.268116,0.22430319,0.2424953
0.2424953,0.2523809,0.23333329,0.26570052,0.21776998,0.2448405
0.2448405,0.26904762,0.24523807,0.27053142,0.2199477,0.2401501
0.2401501,0.26904762,0.24047619,0.2729469,0.21559244,0.2471857
0.2471857,0.24761903,0.2428571,0.26570052,0.22212547,0.25656658
0.25656658,0.26904762,0.24761903,0.27536237,0.2308361,0.23311442
0.23311442,0.2595238,0.23809522,0.26570052,0.2090593,0.25422138
0.25422138,0.26190472,0.2428571,0.27536237,0.22865856,0.23545963
0.23545963,0.25714284,0.23333329,0.26570052,0.21123695,0.23076922
0.23076922,0.24761903,0.22857141,0.25845414,0.20688158,0.2401501
0.2401501,0.25476187,0.23333329,0.27053142,0.21559244,0.2448405
0.2448405,0.25714284,0.23571426,0.2729469,0.2199477,0.25187618
0.25187618,0.26666665,0.24761903,0.28260875,0.22648084,0.2401501
0.2401501,0.2738095,0.24523807,0.27053142,0.21559244,0.27767354
0.27767354,0.27619046,0.26666665,0.28743964,0.25043535,0.24953091
0.24953091,0.28571427,0.26428568,0.28502417,0.22430319,0.2401501
0.2401501,0.26190472,0.23809522,0.27053142,0.21559244,0.19793618
0.19793618,0.25476187,0.23333329,0.22946864,0.17639369,0.18151969
0.18151969,0.19761902,0.17380947,0.20531404,0.1611498,0.19324577
0.19324577,0.20476186,0.18571424,0.2149759,0.1720382,0.19559097
0.19559097,0.2190476,0.19523805,0.22222227,0.17421609,0.19559097
0.19559097,0.2095238,0.18809521,0.21014494,0.17421609,0.21200746
0.21200746,0.19999999,0.20238096,0.21739131,0.18945992,0.19559097
0.19559097,0.22857141,0.20714283,0.22463769,0.17421609,0.22138834
0.22138834,0.2190476,0.2095238,0.22946864,0.19817078,0.22138834
0.22138834,0.24761903,0.23571426,0.25120777,0.19817078,0.20731705
0.20731705,0.23571426,0.20714283,0.23913044,0.18510443,0.19559097
0.19559097,0.23333329,0.20476186,0.22222227,0.17421609,0.16041273
0.16041273,0.22142857,0.19523805,0.19082129,0.1415506,0.12757969
0.12757969,0.16190475,0.13333333,0.13285029,0.111062706,0.15572232
0.15572232,0.14999998,0.14999998,0.16425121,0.13719511,0.14634144
0.14634144,0.17142856,0.14285713,0.17391306,0.12848437,0.12757969
0.12757969,0.15714282,0.13333333,0.15458941,0.111062706,0.11819887
0.11819887,0.14285713,0.12142855,0.14251208,0.102351844,0.11819887
0.11819887,0.12380952,0.1047619,0.13285029,0.102351844,0.09943712
0.09943712,0.11428571,0.090476155,0.12077296,0.08493036,0.06894934
0.06894934,0.09285712,0.07142854,0.094202936,0.05662024,0.09943712
0.09943712,0.08571428,0.099999964,0.10144931,0.08493036,0.10412753
0.10412753,0.11904758,0.10238093,0.11594206,0.08928579,0.14634144
0.14634144,0.1380952,0.13571423,0.14975846,0.12848437,0.15337706
