var1(t-1),var2(t-1),var3(t-1),var4(t-1),var5(t-1),var1(t)
0.41910192,0.41197434,0.3969298,0.44444442,0.304398,0.40841058
0.40841058,0.41553816,0.3896199,0.43722945,0.29440594,0.40841058
0.40841058,0.40484676,0.38596487,0.43001443,0.29440594,0.41553816
0.41553816,0.40484676,0.39327484,0.43362194,0.30106723,0.41553816
0.41553816,0.41910192,0.3969298,0.4408369,0.30106723,0.4262295
0.4262295,0.41553816,0.41520464,0.44805193,0.311059,0.41553816
0.41553816,0.41910192,0.4115497,0.44805193,0.30106723,0.4262295
0.4262295,0.41553816,0.40423977,0.44805193,0.311059,0.41910192
0.41910192,0.4262295,0.40789473,0.45165944,0.304398,0.4262295
0.4262295,0.4262295,0.40789473,0.44805193,0.311059,0.401283
0.401283,0.41553816,0.3969298,0.43001443,0.28774494,0.401283
0.401283,0.40841058,0.38596487,0.43001443,0.28774494,0.3905916
0.3905916,0.401283,0.375,0.3975469,0.27775306,0.401283
0.401283,0.3941554,0.37865496,0.4191919,0.28774494,0.39771917
0.39771917,0.40484676,0.38596487,0.43001443,0.28441423,0.41910192
0.41910192,0.40841058,0.40423977,0.4408369,0.304398,0.41910192
0.41910192,0.401283,0.40058476,0.43362194,0.304398,0.4333571
0.4333571,0.42266575,0.41885966,0.45165944,0.3177203,0.42979333
0.42979333,0.44048467,0.42251462,0.46248198,0.31438965,0.4262295
0.4262295,0.42979333,0.4115497,0.45887446,0.311059,0.44048467
0.44048467,0.4369209,0.41885966,0.46248198,0.32438147,0.44048467
0.44048467,0.4333571,0.41885966,0.46248198,0.32438147,0.46543124
0.46543124,0.44761226,0.44444442,0.47691196,0.34769577,0.4761226
0.4761226,0.4761226,0.499269,0.5021645,0.3576874,0.468995
0.468995,0.49037775,0.47733915,0.491342,0.35102624,0.5010692
0.5010692,0.486814,0.49195904,0.5165945,0.3810016,0.5295795
0.5295795,0.51532435,0.5358187,0.54184705,0.40764636,0.5188881
0.5188881,0.53670704,0.5248538,0.5526695,0.3976546,0.5081967
0.5081967,0.5117605,0.499269,0.54184705,0.3876627,0.5081967
0.5081967,0.51532435,0.49195904,0.5310245,0.3876627,0.5010692
0.5010692,0.51532435,0.495614,0.5310245,0.3810016,0.5010692
0.5010692,0.5081967,0.48830408,0.5310245,0.3810016,0.49750534
0.49750534,0.49750534,0.4809941,0.5310245,0.377671,0.5331433
0.5331433,0.5188881,0.51388884,0.5454545,0.410977,0.5331433
0.5331433,0.5438347,0.5358187,0.5670996,0.410977,0.53670704
0.53670704,0.54739845,0.5248538,0.55627704,0.41430753,0.5438347
0.5438347,0.5438347,0.5248538,0.5670996,0.4209687,0.5438347
0.5438347,0.54739845,0.5248538,0.5707071,0.4209687,0.53670704
0.53670704,0.53670704,0.52119887,0.55988455,0.41430753,0.5295795
0.5295795,0.5438347,0.52119887,0.56349206,0.40764636,0.52601564
0.52601564,0.53670704,0.5175438,0.55627704,0.40431565,0.5010692
0.5010692,0.5224519,0.5065789,0.5310245,0.3810016,0.49750534
0.49750534,0.5010692,0.48830408,0.5165945,0.377671,0.5010692
0.5010692,0.5010692,0.48464912,0.5310245,0.3810016,0.51532435
0.51532435,0.5081967,0.495614,0.53823954,0.39432406,0.50463295
0.50463295,0.5117605,0.49195904,0.534632,0.38433218,0.5117605
0.5117605,0.50463295,0.50292397,0.534632,0.39099336,0.50463295
0.50463295,0.5117605,0.49195904,0.534632,0.38433218,0.5081967
0.5081967,0.5081967,0.499269,0.534632,0.3876627,0.5117605
0.5117605,0.51532435,0.49195904,0.53823954,0.39099336,0.53670704
0.53670704,0.5081967,0.51388884,0.534632,0.41430753,0.5331433
0.5331433,0.53670704,0.52119887,0.55988455,0.410977,0.5402709
0.5402709,0.53670704,0.52119887,0.55988455,0.41763812,0.54739845
0.54739845,0.5438347,0.53947365,0.57431453,0.4242993,0.5402709
0.5402709,0.54739845,0.5248538,0.5707071,0.41763812,0.54739845
0.54739845,0.54739845,0.5285088,0.5707071,0.4242993,0.5616536
0.5616536,0.5402709,0.53947365,0.57431453,0.4376216,0.5545261
0.5545261,0.5509623,0.54678357,0.57792205,0.45047975,0.5616536
0.5616536,0.5545261,0.54678357,0.58152956,0.45727932,0.5616536
0.5616536,0.55808985,0.5431286,0.58513707,0.45727932,0.54739845
0.54739845,0.56878126,0.5540936,0.58152956,0.44368023,0.57947266
0.57947266,0.56878126,0.55774856,0.5995671,0.47427827,0.5830364
0.5830364,0.5830364,0.5614035,0.5959596,0.47767818,0.5759088
0.5759088,0.5759088,0.5614035,0.5995671,0.4708786,0.572345
0.572345,0.5830364,0.5614035,0.6031746,0.4674788,0.5866002
0.5866002,0.5830364,0.56505847,0.61038965,0.48107815,0.57947266
0.57947266,0.57947266,0.56505847,0.60678214,0.47427827,0.572345
0.572345,0.5830364,0.5614035,0.6031746,0.4674788,0.5652175
0.5652175,0.56878126,0.5540936,0.5959596,0.46067917,0.5759088
0.5759088,0.5759088,0.5540936,0.58513707,0.4708786,0.5616536
0.5616536,0.572345,0.5504385,0.5923521,0.45727932,0.5616536
0.5616536,0.55808985,0.53947365,0.58152956,0.45727932,0.56878126
0.56878126,0.5616536,0.5504385,0.5923521,0.46407896,0.5545261
0.5545261,0.5616536,0.54678357,0.5887446,0.45047975,0.572345
0.572345,0.55808985,0.5504385,0.5887446,0.4674788,0.572345
0.572345,0.5616536,0.5540936,0.5959596,0.4674788,0.5616536
0.5616536,0.57947266,0.55774856,0.5959596,0.45727932,0.5652175
0.5652175,0.56878126,0.5504385,0.5959596,0.46067917,0.5402709
0.5402709,0.5652175,0.5431286,0.57431453,0.43688065,0.4761226
0.4761226,0.5331433,0.5102339,0.505772,0.37568384,0.49750534
0.49750534,0.49037775,0.4736842,0.49855697,0.39608276,0.4796864
0.4796864,0.50463295,0.4809941,0.47330445,0.37908363,0.46543124
0.46543124,0.4761226,0.46271926,0.491342,0.36548436,0.47255883
0.47255883,0.46186742,0.46271926,0.48412699,0.37228405,0.4761226
0.4761226,0.4796864,0.46271926,0.49855697,0.37568384,0.48325017
0.48325017,0.4761226,0.46637428,0.49855697,0.38248354,0.50463295
0.50463295,0.49037775,0.49195904,0.5165945,0.40288234,0.49750534
0.49750534,0.5081967,0.49195904,0.5310245,0.39608276,0.49750534
0.49750534,0.5117605,0.49195904,0.5310245,0.39608276,0.5117605
0.5117605,0.50463295,0.49195904,0.5310245,0.40968204,0.5224519
