var1(t-1),var2(t-1),var3(t-1),var4(t-1),var5(t-1),var1(t)
0.20743036,0.20996979,0.20458019,0.22152886,0.15503445,0.20433438
0.20433438,0.21450153,0.20305347,0.22464898,0.1525946,0.1996904
0.1996904,0.21148035,0.19847327,0.21996883,0.14893463,0.21517032
0.21517032,0.21450153,0.20763361,0.22464898,0.16113445,0.2275542
0.2275542,0.22658607,0.21984732,0.23868957,0.1708943,0.23065019
0.23065019,0.24018124,0.22748095,0.24804994,0.17333421,0.21362233
0.21362233,0.22658607,0.21832061,0.23400936,0.1599144,0.21826631
0.21826631,0.22054377,0.21221375,0.23244932,0.16357437,0.21362233
0.21362233,0.22507551,0.21526718,0.23556945,0.1599144,0.21052635
0.21052635,0.22054377,0.20916033,0.23088923,0.1574746,0.20278639
0.20278639,0.21752265,0.21221375,0.22308895,0.15137461,0.20433438
0.20433438,0.21450153,0.20305347,0.22464898,0.1525946,0.19814247
0.19814247,0.21450153,0.19847327,0.20904836,0.1477147,0.19349849
0.19349849,0.21601209,0.20000005,0.21216848,0.14405474,0.19659448
0.19659448,0.20845923,0.19541985,0.21216848,0.14649472,0.22136223
0.22136223,0.21450153,0.21374047,0.22620907,0.16601434,0.22136223
0.22136223,0.22658607,0.21832061,0.2293292,0.16601434,0.22445822
0.22445822,0.234139,0.22290081,0.24336973,0.16845432,0.21052635
0.21052635,0.234139,0.2167939,0.23088923,0.1574746,0.21052635
0.21052635,0.22356495,0.2061069,0.2293292,0.1574746,0.20897835
0.20897835,0.22054377,0.20763361,0.2293292,0.1562545,0.21207434
0.21207434,0.21903321,0.20458019,0.22620907,0.15869448,0.21362233
0.21362233,0.22356495,0.21068704,0.23400936,0.1599144,0.21517032
0.21517032,0.23111781,0.2167939,0.23400936,0.16113445,0.21052635
0.21052635,0.22356495,0.20763361,0.2277691,0.1574746,0.20743036
0.20743036,0.22507551,0.20763361,0.2277691,0.15503445,0.20897835
0.20897835,0.21450153,0.20916033,0.22620907,0.1562545,0.20743036
0.20743036,0.21601209,0.20916033,0.2277691,0.15503445,0.21052635
0.21052635,0.22205439,0.2061069,0.2293292,0.1574746,0.22136223
0.22136223,0.22054377,0.21526718,0.23244932,0.16601434,0.2291022
0.2291022,0.23716012,0.22290081,0.24648985,0.17211428,0.23065019
0.23065019,0.23867068,0.22442752,0.24648985,0.17333421,0.2291022
0.2291022,0.23716012,0.22290081,0.24960998,0.17211428,0.258514
0.258514,0.2537764,0.25801528,0.2652106,0.19529375,0.27399385
0.27399385,0.27039275,0.27022904,0.2823713,0.2074937,0.27244586
0.27244586,0.28247735,0.2671756,0.2792512,0.20627376,0.27863777
0.27863777,0.2809668,0.28244275,0.2948518,0.2111536,0.28637773
0.28637773,0.29305133,0.2778626,0.30109206,0.21725348,0.28792572
0.28792572,0.29456195,0.28244275,0.30421218,0.2184734,0.28328174
0.28328174,0.3021148,0.28549618,0.30577222,0.2148135,0.28792572
0.28792572,0.29154077,0.27938932,0.30421218,0.2184734,0.28328174
0.28328174,0.2839879,0.28091604,0.29797193,0.2148135,0.28018576
0.28018576,0.2900302,0.2763359,0.30109206,0.21237352,0.28173375
0.28173375,0.2900302,0.27480918,0.29953197,0.21359351,0.29566568
0.29566568,0.29154077,0.28702295,0.3026521,0.22457328,0.28637773
0.28637773,0.29909363,0.28244275,0.30421218,0.21725348,0.28328174
0.28328174,0.2900302,0.28854966,0.3026521,0.2148135,0.28173375
0.28173375,0.28700903,0.27480918,0.29641184,0.21359351,0.28482974
0.28482974,0.2900302,0.28244275,0.3026521,0.21603355,0.27554184
0.27554184,0.29909363,0.28396946,0.29797193,0.20871362,0.28482974
0.28482974,0.2779456,0.28244275,0.2917317,0.21603355,0.28637773
0.28637773,0.29305133,0.28244275,0.3073323,0.21725348,0.2894737
0.2894737,0.28700903,0.28091604,0.28861156,0.21969345,0.2941177
0.2941177,0.3021148,0.28854966,0.31045243,0.2233533,0.28482974
0.28482974,0.28851965,0.28396946,0.3026521,0.21603355,0.28482974
0.28482974,0.29305133,0.28091604,0.30577222,0.21603355,0.2910217
0.2910217,0.2960725,0.28549618,0.30889234,0.2209135,0.3003096
0.3003096,0.29909363,0.29770994,0.31201246,0.22823331,0.2987616
0.2987616,0.3021148,0.29923666,0.3151326,0.22701338,0.29566568
0.29566568,0.29305133,0.29007638,0.3073323,0.23787317,0.2925697
0.2925697,0.29909363,0.29465652,0.31201246,0.23538229,0.30804956
0.30804956,0.31117824,0.29923666,0.32137284,0.24783638,0.2910217
0.2910217,0.31570998,0.3099237,0.31201246,0.23413691,0.2910217
0.2910217,0.30966768,0.29465652,0.31201246,0.23413691,0.2925697
0.2925697,0.29909363,0.28854966,0.31201246,0.23538229,0.3018576
0.3018576,0.3066465,0.29770994,0.3182527,0.24285468,0.29721367
0.29721367,0.30815712,0.29465652,0.31669268,0.23911849,0.29566568
0.29566568,0.30513594,0.2931298,0.3151326,0.23787317,0.2925697
0.2925697,0.30060425,0.2916031,0.31357256,0.23538229,0.2910217
0.2910217,0.29909363,0.28549618,0.31045243,0.23413691,0.2910217
0.2910217,0.29758307,0.28396946,0.31045243,0.23413691,0.29566568
0.29566568,0.30513594,0.28854966,0.31045243,0.23787317,0.2987616
0.2987616,0.3066465,0.2916031,0.31669268,0.2403638,0.2910217
0.2910217,0.3066465,0.2931298,0.31201246,0.23413691,0.3003096
0.3003096,0.29305133,0.2916031,0.30577222,0.2416093,0.30340558
0.30340558,0.30966768,0.29465652,0.3198128,0.24410012,0.3018576
0.3018576,0.3021148,0.2931298,0.31357256,0.24285468,0.2941177
0.2941177,0.3066465,0.29007638,0.31357256,0.23662761,0.28792572
0.28792572,0.30362538,0.28854966,0.30889234,0.23164603,0.23065019
0.23065019,0.29305133,0.2763359,0.25117007,0.18556592,0.22136223
0.22136223,0.22658607,0.22595423,0.23244932,0.1780934,0.20588237
0.20588237,0.23111781,0.21832061,0.2043682,0.16563937,0.20588237
0.20588237,0.21450153,0.22290081,0.22152886,0.16563937,0.20588237
0.20588237,0.20241693,0.21526718,0.21372858,0.16563937,0.21052635
0.21052635,0.22507551,0.21984732,0.2277691,0.16937569,0.21362233
